TEFF,LOGG,METALLICITY,CTOO,LOGKZZ,FILENAME
1000.0,3.5,0.75,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+0.75_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,3.5,0.75,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+0.75_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,3.5,0.75,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+0.75_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,3.5,0.75,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+0.75_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,3.5,0.75,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+0.75_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,3.5,0.75,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+0.75_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,3.5,1.0,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+1.0_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,3.5,1.0,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+1.0_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,3.5,1.0,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+1.0_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,3.5,1.0,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+1.0_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,3.5,1.0,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+1.0_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,3.5,1.0,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+1.0_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,3.5,1.0,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+1.0_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,3.5,1.0,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+1.0_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,3.5,1.0,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_+1.0_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,3.5,-0.25,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.25_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,3.5,-0.25,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.25_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,3.5,-0.25,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.25_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,3.5,-0.25,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.25_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,3.5,-0.25,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.25_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,3.5,-0.25,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.25_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,3.5,-0.25,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.25_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,3.5,-0.25,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.25_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,3.5,-0.25,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.25_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,3.5,-0.5,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.5_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,3.5,-0.5,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.5_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,3.5,-0.5,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.5_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,3.5,-0.5,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.5_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,3.5,-0.5,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.5_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,3.5,-0.5,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.5_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,3.5,-0.5,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.5_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,3.5,-0.5,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.5_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,3.5,-0.5,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-0.5_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,3.5,-1.0,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.0_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,3.5,-1.0,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.0_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,3.5,-1.0,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.0_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,3.5,-1.0,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.0_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,3.5,-1.0,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.0_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,3.5,-1.0,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.0_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,3.5,-1.0,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.0_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,3.5,-1.0,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.0_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,3.5,-1.0,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.0_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,3.5,-1.5,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.5_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,3.5,-1.5,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.5_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,3.5,-1.5,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.5_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,3.5,-1.5,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.5_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,3.5,-1.5,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.5_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,3.5,-1.5,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.5_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,3.5,-1.5,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.5_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,3.5,-1.5,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.5_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,3.5,-1.5,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-1.5_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,3.5,-2.0,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.0_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,3.5,-2.0,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.0_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,3.5,-2.0,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.0_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,3.5,-2.0,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.0_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,3.5,-2.0,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.0_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,3.5,-2.0,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.0_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,3.5,-2.0,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.0_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,3.5,-2.0,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.0_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,3.5,-2.0,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.0_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,3.5,-2.5,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.5_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,3.5,-2.5,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.5_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,3.5,-2.5,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.5_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,3.5,-2.5,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.5_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,3.5,-2.5,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.5_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,3.5,-2.5,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.5_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,3.5,-2.5,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.5_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,3.5,-2.5,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.5_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,3.5,-2.5,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_3.5_logZ_-2.5_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,4.0,0.0,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.0_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,4.0,0.0,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.0_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,4.0,0.0,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.0_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,4.0,0.0,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.0_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,4.0,0.0,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.0_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,4.0,0.0,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.0_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,4.0,0.0,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.0_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,4.0,0.0,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.0_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,4.0,0.0,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.0_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,4.0,0.25,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.25_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,4.0,0.25,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.25_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,4.0,0.25,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.25_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,4.0,0.25,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.25_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,4.0,0.25,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.25_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,4.0,0.25,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.25_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,4.0,0.25,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.25_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,4.0,0.25,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.25_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,4.0,0.25,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.25_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,4.0,0.5,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.5_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,4.0,0.5,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.5_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,4.0,0.5,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.5_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,4.0,0.5,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.5_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,4.0,0.5,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.5_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,4.0,0.5,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.5_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,4.0,0.5,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.5_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,4.0,0.5,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.5_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,4.0,0.5,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.5_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,4.0,0.75,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.75_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,4.0,0.75,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.75_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,4.0,0.75,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.75_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,4.0,0.75,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.75_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,4.0,0.75,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.75_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,4.0,0.75,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.75_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,4.0,0.75,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.75_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,4.0,0.75,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.75_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,4.0,0.75,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+0.75_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,4.0,1.0,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+1.0_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,4.0,1.0,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+1.0_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,4.0,1.0,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+1.0_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,4.0,1.0,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+1.0_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,4.0,1.0,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+1.0_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,4.0,1.0,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+1.0_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,4.0,1.0,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+1.0_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,4.0,1.0,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+1.0_CtoO_0.85_logKzz_10.0_spec.txt
1000.0,4.0,1.0,0.85,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_+1.0_CtoO_0.85_logKzz_2.0_spec.txt
1000.0,4.0,-0.25,0.1,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_-0.25_CtoO_0.1_logKzz_-1.0_spec.txt
1000.0,4.0,-0.25,0.1,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_-0.25_CtoO_0.1_logKzz_10.0_spec.txt
1000.0,4.0,-0.25,0.1,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_-0.25_CtoO_0.1_logKzz_2.0_spec.txt
1000.0,4.0,-0.25,0.55,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_-0.25_CtoO_0.55_logKzz_-1.0_spec.txt
1000.0,4.0,-0.25,0.55,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_-0.25_CtoO_0.55_logKzz_10.0_spec.txt
1000.0,4.0,-0.25,0.55,2.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_-0.25_CtoO_0.55_logKzz_2.0_spec.txt
1000.0,4.0,-0.25,0.85,-1.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_-0.25_CtoO_0.85_logKzz_-1.0_spec.txt
1000.0,4.0,-0.25,0.85,10.0,LOW_Z_BD_GRID_CLEAR_Teff_1000.0_logg_4.0_logZ_-0.25_CtoO_0.85_logKzz_10.0_spec.txt
